Acronym;Coordinator;Partners;Total Grant (€);Description;Year
ROBUST-6G;Ericsson (Sweden);University of Murcia, Chalmers University of Technology, Nextworks (Italy), EURECOM, Gohm elektronik ve bilisim sanayi ticaret limited sirketi, Linköping University, École nationale supérieure de l'électronique et de ses applications de Cergy, Axon logic idiotiki kefalaiouxiki etaireia, CY Cergy Paris Université, University of Padua, Thales six gts france sas, Telefónica (Spain), National University of Ireland;3999956.5;Automation and protection of 6G services against cyber threats.;2023
SAFE-6G;Telefónica (Spain);"Cumucore oy, Space Hellas (Greece), Thales six gts france sas, Eight bells ltd, Inqbit innovations srl, University of West Attica, Keynectis, Universitat Politècnica de València, Immersion, Atos (Spain), National Centre of Scientific Research ""Demokritos"", Infolysis p.c., eBOS Technologies (Cyprus)";3998540.5;Security in distributed and user-centric core networks.;2023
SUNRISE-6G;Athena Research and Innovation Center In Information Communication & Knowledge Technologies;"Greenerwave, Luleå University of Technology, Thales six gts france sas, University of Oulu, CERCA Institution, EURECOM, National Centre of Scientific Research ""Demokritos"", Infolysis p.c., Nh appart holding ltd, IBM (Ireland), Siemens (Germany), Hellenic Telecommunications Organization (Greece), VTT Technical Research Centre of Finland, Lenovo deutschland gmbh, Sorbonne Université, Intracom Telecom (Greece), National Research Council, Fraunhofer Society, Fogus innovations & services p.c., University of Thessaly, KU Leuven, eBOS Technologies (Cyprus), Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Tzoyniper diktya ellas anonymi etairia, Isrd sp z o.o., Iquadrat (Spain), PT Inovação e Sistemas (Portugal)";13120676.76;Key enabler for the intelligent digital society of 2030.;2023
TeraGreen;Delft University of Technology;Infineon Technologies (Germany), TU Dresden, Hellenic Telecommunications Organization (Greece), Chalmers University of Technology, Ericsson (Sweden);4990648.88;High-speed, energy-efficient wireless links for 6G.;2023
iSEE-6G;Institute for Mobile and Satellite Communication Technology;Airbus ds slc, Direk ltd, Technische Universität Berlin, Orange (France), KU Leuven, University of Cyprus, WINGS ICT Solutions (Greece), Mellanox Technologies (Israel), IMEC, University of Piraeus, Agricloud s.r.l.;3999523.76;Joint sensing and communication capabilities for smart cities.;2023
iTrust6G;Gigasys solutions sl;National Technical University of Athens, Lenovo deutschland gmbh, Polytechnic University of Turin, CERCA Institution, Projecto Desenvolvimento Manutenção Formação e Consultadoria, Telefónica (Spain), Adrestia erevnitiki idiotiki kefalaiouxiki etaireia, Carlos III University of Madrid;4236558.75;Zero-trust architecture to increase security in 6G.;2023
6G-DALI;Athena Research and Innovation Center In Information Communication & Knowledge Technologies;Nextworks (Italy), EURECOM, KU Leuven, Viavi solutions france sas, Spark works limited, Cyberethics lab srls, Iquadrat (Spain), Intracom Telecom (Greece), Hellenic Telecommunications Organization (Greece), Delft University of Technology, IBM (Ireland), Telefónica (Spain);5826453.13;Native AI/ML support at all system levels.;2024
6G-LEADER;F6S Network (United Kingdom);Four dot infinity information and telecommunications solutions private company, Digital Catapult (United Kingdom), Atos (Spain), Massive beams gmbh, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, University of Granada, Linköping University, Samsung (United Kingdom), Aalto University, Institute of Communication and Computer Systems, University of Cyprus, Accelleran, Carlos III University of Madrid, Universitat Politècnica de Catalunya, Software radio systems limited, Telefónica (Spain), Nokia (United Kingdom);7998705.0;Evolution of physical algorithms and autonomous intelligent networks.;2024
6G-MIRAI;Ericsson france;University of Pisa, Fraunhofer Society, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Isrd sp z o.o., KU Leuven, Sequans communications, Telefónica (Spain), Apple technology engineering bv & co kg;2979966.5;Robust and AI-native wireless communication systems.;2024
6G-VERSUS;University of Oulu;"Entra energy, National Centre of Scientific Research ""Demokritos"", Thales six gts france sas, Universitat Politècnica de València, Eight bells ltd, Greencityzen, Instituto de Telecomunicações, Kingston University, OneSource (Portugal), Elliniko vraveio epicheirimatikotitas, Telefónica (Spain), Spanish National Research Council, Nokia (Spain), University of Coimbra, Instituto pedro nunes associacao para a inovacao e desenvolvimento em ciencia e tecnologia, Software company eood, Hewlett-Packard (Italy), Hidralia gestion integral de aguas de andalucia sa, University of Bradford, Institute of Communication and Computer Systems, Jsio lda, Infolysis p.c., A1 bulgaria ead, Keysight technologies sales spain sl, Universidad de Málaga, Greek Rescue Team, EURECOM, PT Inovação e Sistemas (Portugal), Apa-administracao do porto de aveiro sa, Incites consulting sa, University of Cyprus, Fundacion centro andaluz de investigaciones del agua, Hellenic Telecommunications Organization (Greece)";12089420.75;Researching sustainable frontiers using European 6G facilities.;2024
6GARROW;Commissariat à l’énergie atomique et aux énergies alternatives;University of Oulu, Orange, Fraunhofer Society, Intel (Germany), Aalto University, Grenoble École de Management, Hewlett-Packard (Italy);2999947.0;EU-Korea collaboration on AI-native radio access networks.;2024
AMAZING-6G;WINGS ICT Solutions (Greece);Custom soft solutions s.r.l., Oq technology sarl, Telecom Italia (Italy), Thessaloniki Port Authority, LINKS Foundation, Bellantenna s.r.l., Serviciul de telecomunicatii speciale, Orange (France), Comune di torino, Telefónica (Spain), Smart rail connectivity-campus (srcc) ev, Oslo University Hospital, Centre for Research and Technology Hellas, Capgemini (France), Simtel team sa, Acromove europe monoprosopi ike, University of Surrey, Aurora powertrains oy, University of Patras, Ministry of Transport and Communications, VTT Technical Research Centre of Finland, Chemnitz University of Technology, Isrd sp z o.o., Hewlett-Packard (Italy), Nextworks (Italy), Carlos III University of Madrid, IMEC, P-net anadyomena diktya neas genias & efarmoges idiotiki kefalaiouchiki etaireia, Netherlands Organisation for Applied Scientific Research;12142044.75;Large-scale trials in healthcare, safety, and transport.;2024
AMBIENT-6G;IMEC;University of Oulu, Sequans communications, Graz University of Technology, WINGS ICT Solutions (Greece), Aalto University, Quicksand, Ericsson (Finland), NXP (Netherlands), KU Leuven, Telefónica (Spain);7994612.5;Technology for energy-neutral IoT devices.;2024
FLECON-6G;Athena Research and Innovation Center In Information Communication & Knowledge Technologies;E-lighthouse network solutions sl, Delft University of Technology, eBOS Technologies (Cyprus), Realworld eastern europe srl, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, University of Central Lancashire, Lenovo deutschland gmbh, EURECOM, Airbus ds slc, Telefónica (Spain), Siemens (Germany), Brainstorm (Spain), Iquadrat (Spain), Orange (France), Ericsson (Ireland), Nextworks (Italy), Hellenic Telecommunications Organization (Greece), Nvidia denmark aps;7971093.75;Vision of intelligent network with native AI and digital twins.;2024
MARE;Space Hellas (Greece);"Universitat Politècnica de Catalunya, Ubitech (Greece), Four dot infinity information and telecommunications solutions private company, Thales six gts france sas, Technische Universität Braunschweig, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Atos (Spain), Airbus defence and space sas, Orange, XLAB (Slovenia), Eight bells ltd, Nextworks (Italy), Engineering (Italy), Ericsson (Italy), Telefónica (Spain), Hewlett-Packard (Italy), Accelleran, National Centre of Scientific Research ""Demokritos"", National University of Ireland";7998984.5;Testing platform for research in 6G network technologies.;2024
MultiX;Carlos III University of Madrid;Siemens (Germany), Leibniz Association, InterDigital (United Kingdom), Institute of Accelerating Systems and Applications, Apple technology engineering bv & co kg, Nextworks (Italy), Madrid Institute for Advanced Studies, Telefónica (Spain), Hellenic Telecommunications Organization (Greece), NEC (Germany), KU Leuven, BubbleRAN, CERCA Institution, Universidad de Cantabria, NEC (Japan), Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Intel (Germany);7999603.0;Multi-band MIMO systems to improve network capacity.;2024
NexaSphere;TriaGnoSys (Germany);TU Wien, Eight bells ltd, Hewlett-Packard (Italy), Aerolifi gmbh, Romars srl start-up costituita a norma dell'art 4 comma 10bis del decreto legge 24 gennaio 2015, n.3, Network Rail, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Rf microtech srl, Conservatoire national des arts et métiers, University of Naples Federico II, Software radio systems limited, Ellas sat anonymh etaireia ypiresies doryforikon systimaton kai epikoinonion, OHB (Germany), German Aerospace Center, Fiat Chrysler Automobiles (Italy), Magister Solutions (Finland), Hellenic Telecommunications Organization (Greece);7997516.08;Spherical architecture for global and resilient coverage.;2024
SNS CO-OP;European Institute For Research and Strategic Studies In Telecommunications;"Telecom Italia (Italy), Mtu australo alpha lab, Nokia (Germany), University of Oulu, Ericsson (Sweden), Poznań University of Technology, Institute for Systems Engineering and Computers, Netherlands Organisation for Applied Scientific Research, CERCA Institution, Telenor (Norway), Nokia networks france, Sas idate, Thales six gts france sas, Trust-it services srl, Telefónica (Spain), Commpla srl, Sabiedriba ar ierobezotu atbildibu ""elekroniskie sakari"", South East Technological University, Universidad de Málaga, 6g smart networks and services industry association, Instituto de Telecomunicações";3910279.0;International cooperation for 6G standards harmonization.;2024
SUSTAIN-6G;Nokia (Germany);Siemens (Germany), Argotec soluciones innovadoras en telecomunicaciones sl, European Institute For Research and Strategic Studies In Telecommunications, KU Leuven, Cybersocial lab srl impresa sociale, Électricité de France, University of Oulu, Ericsson (Sweden), Institut de recherche technologique B-COM, Telecom Italia (Italy), P-net anadyomena diktya neas genias & efarmoges idiotiki kefalaiouchiki etaireia, Real wireless limited, Nokia networks france, John deere gmbh & co. kg*jd, Siemens (Austria), Orange, Mdcreate srl, WINGS ICT Solutions (Greece), Qualtek srl, Polytechnic University of Turin, Commissariat à l’énergie atomique et aux énergies alternatives, Deutsche Telekom (Germany), Carlos III University of Madrid;12999999.99;Framework for developing environmentally sustainable 6G networks.;2024
UNITY-6G;CERCA Institution;"National Centre of Scientific Research ""Demokritos"", Keysight technologies denmark aps, IMEC, Independent power transmission operator sa, Nokia (Germany), Nearby computing sl, Ceragon networks s.r.l, Martel, Software radio systems limited, Four dot infinity information and telecommunications solutions private company, German Aerospace Center, LINKS Foundation, University of Bologna, Hispasat (Spain), University of Applied Sciences and Arts Western Switzerland, Holo-industrie 4.0 software gmbh, Orange, Rimedo spolka z ograniczona odpowiedzialnoscia, Telefónica (Spain)";7978392.01;Unification of heterogeneous technologies into a single architecture.;2024
X-TREME 6G;Stmicroelectronics (crolles 2) sas;Board of the Swiss Federal Institutes of Technology, P-net anadyomena diktya neas genias & efarmoges idiotiki kefalaiouchiki etaireia, Fraunhofer Society, Commissariat à l’énergie atomique et aux énergies alternatives, Nokia (Italy), Argus space ag, Nokia networks france, STMicroelectronics France, Amires (Czechia), Institute for Mobile and Satellite Communication Technology, Centre national de la recherche scientifique, University of Patras, Université de Bordeaux, Orange (Poland), Iii-v lab, Technical University of Denmark, Politecnico di Milano, Karlsruhe Institute of Technology;9974738.55;Research in extreme frequency bands for ultra-high speeds.;2024
XTRUST-6G;Centre for Research and Technology Hellas;Summit tec group ltd, Tallinn University of Technology, Ericsson (Italy), European Dynamics (Greece), Archi prostasias dedomenon prosopikou charaktira, University of Thessaly, Iquadrat (Spain), University of Peloponnese, K3y, Sphynx technology solutions ag, Cyentific as, Public Power Corporation (Greece), Incites consulting sa, Telefónica (Spain), Advanced Integrated Technology Solutions & Services, Telekom Slovenije (Slovenia), University of Portsmouth, University of Luxembourg;7998595.0;Trust and security solutions for critical 6G ecosystems.;2024
