source,target,type,amount
IT Portugal,6G-PATH,Partner,
OTE,6G-PATH,Partner,
Orange RO,6G-PATH,Partner,
Telefónica,6G-PATH,R&D Partner,
Airbus,6G-PATH,Partner,
U. Malaga,6G-PATH,Partner,
Karlstad U,6G-PATH,Partner,
Fraunhofer,6G-PATH,Partner,
Vodafone,6G-ANNA,Partner,
Bosch,6G-ANNA,Partner,
Rohde & Schwarz,6G-ANNA,Partner,
TU Dresden,6G-ANNA,Partner,
TU Munich,6G-ANNA,Partner,
RWTH Aachen,6G-ANNA,Partner,
KIT,6G-ANNA,Partner,
Airbus,6G-ANNA,Partner,
Siemens,6G-ANNA,Partner,
Ericsson,6G-ANNA,Partner,
Fraunhofer,6G-ANNA,Partner,
SAL,6G-IA,Member,
AIT Austria,6G-IA,Member,
NXP,SAL,Industry Partner,
TU Wien,SAL,Research Partner,
AIT Austria,XTRUST-6G,Partner,
SERI,6G-XR,National Grant,Funding (CH)
Swisscom,6G-XR,Partner,
ETH Zurich,6G-XR,Partner,
EPFL,6G-IA,Member,
UK Gov,EU Commission,Horizon Europe Assoc.,Assoc.
Univ Bristol,6G-IA,Member,
CERTH,XTRUST-6G,Coordinator,
Telefónica,XTRUST-6G,Partner,
TalTech,XTRUST-6G,Partner,
Telekom Slovenije,XTRUST-6G,Partner,
Univ Portsmouth,XTRUST-6G,Partner,
Ericsson,XTRUST-6G,Partner,
Call 1,Hexa-X-II,Flagship Funding,
Call 1,6G-SANDBOX,Funds,
Nokia,Hexa-X-II,Project Lead,
Ericsson,Hexa-X-II,Tech Manager,
Nokia,6G-ANNA,Lead,
Nokia,6G-IA,Chairs,
Deutsche Telekom,6G-IA,Member,
Telefónica,6G-IA,Member,
Telefónica,ENABLE-6G,Partner,
IMDEA Networks,ENABLE-6G,Coordination,
Spanish Gov,ENABLE-6G,Funding,UNICO
i2CAT,6G-IA,Member,
Orange,6G-IA,Member,
Thales,6G-IA,Member,
Airbus,Thales,Space/NTN Collab,
CEA-Leti,RISE-6G,Coordination,
6G Flagship,SUNRISE-6G,Infrastructure Provider,
CEA-Leti,SUNRISE-6G,Infrastructure Provider,
LMT,SUNRISE-6G,Infrastructure Provider,
U. Malaga,SUNRISE-6G,Infrastructure Provider,
Atos,SUNRISE-6G,Integration Partner,
Atos,6G-IA,Member,
NCBR,SUNRISE-6G,Partner Agency,
VTT,6G-XR,Partner,
Matsuko,6G-XR,Partner,
Capgemini,6G-XR,Partner,
Vicomtech,6G-XR,Partner,
Telefónica,6G-XR,Partner,
Ericsson,6G-XR,Partner,
i2CAT,6G-XR,Partner,
Call 2,6G-XR,Funds,
